codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4314209,555765,224442,30308,177230,123785,40.38,5.45,31.89,22.27,3
4314308,908293,543350,31043,242683,91218,59.82,3.42,26.72,10.04,3
4314407,26632440,826577,3446326,16939023,5420514,3.10,12.94,63.60,20.35,3
4314423,880767,35854,498755,233179,112979,4.07,56.63,26.47,12.83,3
4314456,290316,130112,42967,57954,59282,44.82,14.80,19.96,20.42,3
4314464,687172,157656,406588,52880,70049,22.94,59.17,7.70,10.19,3
4314472,2441180,288031,1889098,163905,100144,11.80,77.38,6.71,4.10,3
4314498,334504,160498,19172,61758,93078,47.98,5.73,18.46,27.83,3
4314506,942448,212897,199312,315731,214507,22.59,21.15,33.50,22.76,3
4314548,177551,63969,18695,40695,54193,36.03,10.53,22.92,30.52,3
4314555,225459,118526,5631,44184,57119,52.57,2.50,19.60,25.33,3
4314605,1793776,942155,97931,405526,348164,52.52,5.46,22.61,19.41,3
4314704,625772,117690,91572,250043,166468,18.81,14.63,39.96,26.60,3
4314753,295714,68764,103790,72981,50180,23.25,35.10,24.68,16.97,3
4314779,896584,560731,32533,215811,87508,62.54,3.63,24.07,9.76,3
4314787,204875,115711,9200,37510,42454,56.48,4.49,18.31,20.72,3
4314803,3616945,131623,1438289,1461849,585185,3.64,39.77,40.42,16.18,3
4314902,206710322,92955,18669173,165189317,22758877,0.04,9.03,79.91,11.01,3
4315008,344168,137618,10819,111227,84503,39.99,3.14,32.32,24.55,3
4315057,211872,97971,5635,55317,52950,46.24,2.66,26.11,24.99,3
4315073,112211,46881,2864,21547,40919,41.78,2.55,19.20,36.47,3
4315107,541675,88410,27959,252032,173271,16.32,5.16,46.53,31.99,3
4315131,153048,65029,5928,41269,40823,42.49,3.87,26.96,26.67,3
4315149,477188,38764,266352,112723,59350,8.12,55.82,23.62,12.44,3
4315156,412961,166585,24356,116317,105706,40.34,5.90,28.17,25.60,3
4315172,212659,117677,17079,34393,43509,55.34,8.03,16.17,20.46,3
4315206,323180,134740,32163,82087,74189,41.69,9.95,25.40,22.96,3
4315305,1501609,410249,77553,670739,343067,27.32,5.16,44.67,22.85,3
4315313,388594,243079,19175,75129,51211,62.55,4.93,19.33,13.18,3
4315321,601426,380662,16347,132642,71775,63.29,2.72,22.05,11.93,3
4315354,540850,277539,30560,145741,87011,51.32,5.65,26.95,16.09,3
4315404,542961,203540,17498,145476,176447,37.49,3.22,26.79,32.50,3
4315453,190870,102107,8573,35635,44556,53.50,4.49,18.67,23.34,3
4315503,1493435,535550,148765,540075,269045,35.86,9.96,36.16,18.02,3
4315552,309590,164302,10267,71345,63675,53.07,3.32,23.04,20.57,3
4315602,28163540,896340,9571353,13989341,3706507,3.18,33.98,49.67,13.16,3
4315701,3091534,1086424,286044,1094592,624475,35.14,9.25,35.41,20.20,3
